	           X1	   X2	  X3	   X4	   X5	    X6	    X7
Alabama	        -1.78	-0.02	0.69	14.41	10.28	869.21	130.79
Alaska	        -1.72	-0.24	2.09	15.95	 4.64	941.95	 58.05
Arizona	        14.25	-0.03	4.29	15.88	 7.77	869.54	130.46
Arkansas         0.36	-0.01	1.07	14.35	10.51	861.06	138.94
California	-2.01	-0.04	7.88	15.37	 6.72	894.03	105.97
Colorado         9.32	-0.06	3.57	14.57	 6.26	903.52	 96.48
Connecticut	-2.37	-0.02	3.50	12.52	 9.00	862.64	137.36
Delaware  	 5.39	-0.04	2.12	14.01	 8.79	869.45	130.55
Dist_Columbia	-7.77	-0.07	5.73	14.33	10.76	880.75	119.25
Florida	        12.52	-0.03	5.76	12.54	10.13	826.28	173.72
Georgia	         7.07	-0.07	2.71	16.16	 7.75	904.37	 95.63
Hawaii	        -2.50	-0.29	4.32	15.44	 6.87	866.18	133.82	
Idaho	         6.40	-0.03	2.24	15.00	 7.34	887.18	112.82	
Illinois        -7.28	-0.02	4.76	14.87	 8.72	880.26	119.74
Indiana	        -1.99	 0.00	1.23	14.08	 9.19	876.78	123.22
Iowa	        -5.68	 0.00	1.21	12.83	 9.70	851.89	148.11
Kansas	        -6.36	-0.05	2.28	14.53	 9.35	868.32	131.68
Kentucky  	 0.15	-0.06	0.75	13.63	 9.89	875.51	124.49
Louisiana	-7.98	-0.04	0.70	15.69	 9.37	884.16	115.84
Maine	         6.62	-0.02	0.58	10.31	 9.79	856.33	143.67
Maryland         2.18	-0.06	4.02	14.16	 8.30	886.72	113.28
Massachusetts	-3.25	-0.01	3.24	12.72	 9.02	865.26	134.74
Michigan        -2.70	 0.00	1.93	13.63	 8.88	877.62	122.38
Minnesota	 0.65	 0.00	1.96	13.36	 7.70	880.00	120.00
Mississippi	-3.11	-0.05	0.52	15.98	10.21	879.31	120.69
Missouri        -0.03	-0.02	1.13	13.50	 9.88	866.01	133.99
Montana	        -1.73	-0.03	0.41	11.84	 9.08	865.50	134.50
Nebraska        -6.56	-0.04	1.79	14.18	 8.90	864.92	135.08
Nevada	        27.35	-0.03	6.45	14.22	 7.17	888.64	111.36
New_Hampshire	10.80	 0.00	1.07	11.33	 7.83	880.58	119.42
New_Jersey	-3.64	-0.01	5.68	13.09	 8.54	868.76	131.24
New_Mexico	-5.47	-0.05	2.61	14.80	 7.50	881.45	118.55
New_York        -10.78	-0.01	6.75	13.68	 8.44	871.35	128.65
N_Carolina	 5.43	-0.10	2.09	14.85	 8.95	879.64	120.36
N_Dakota        -13.48	-0.08	0.72	11.99	 9.39	852.22	147.78
Ohio	        -3.69	 0.00	0.89	13.88	 9.75	867.46	132.54
Oklahoma        -3.21	-0.06	1.51	13.96	10.16	867.79	132.21
Oregon	         5.16	 0.00	3.18	12.97	 8.65	872.75	127.25
Pennsylvania	-1.92	 0.00	1.49	11.77	10.79	844.70	155.30
Rhode_Island     3.65	-0.02  2.79	11.68 	 9.65 	856.18	143.82
S_Carolina	 4.02	-0.08	1.10	14.09	 9.26	877.96	122.04
S_Dakota        -3.44	-0.03	0.71	13.63	 9.45	857.51	142.49
Tennessee	 1.50	-0.02	1.06	13.89	 9.78	875.88	124.12
Texas	         2.94	-0.05	4.99	16.86	 7.07	900.66	 99.34
Utah	        -5.73	-0.02	3.27	20.41	 5.52	913.76	 86.24
Vermont	         2.78	 0.00	1.14	10.32	 8.52	872.19	127.81
Virginia         2.55	-0.17	3.15	13.94	 7.98	887.65	112.35
Washington	 3.67	-0.07	3.68	13.42	 7.46	888.00	112.00
W_Virginia	-2.47	 0.00	0.27	11.34	11.90	847.08	152.92
Wisconsin	 0.55	 0.00	1.12	12.70	 8.75	869.77	130.23
Wyoming	        -4.13    -0.05	0.79	12.40	 8.05	882.27	117.73
