©Ê§O,M.,F., m, f,,, d, e
Á`­p,98550,65272,11712047,11780027,,,444 ,100000 
0 ·³,492,397,104752,96771,,,37 ,99556 
1 ·³,43,28,110605,103634,,,27 ,99520 
2 ·³,27,25,102614,95359,,,20 ,99493 
3 ·³,24,15,122936,114700,,,16 ,99473 
4 ·³,15,3,104302,96782,,,14 ,99457 
5 ·³,14,9,88251,81148,,,13 ,99443 
6 ·³,10,8,101733,93793,,,11 ,99430 
7 ·³,8,7,104231,95199,,,9 ,99419 
8 ·³,16,7,107739,98409,,,8 ,99409 
9 ·³,12,6,108250,98765,,,8 ,99401 
10 ·³,22,8,108646,99802,,,10 ,99393 
11 ·³,10,12,114750,103908,,,13 ,99383 
12 ·³,17,10,119184,108276,,,19 ,99370 
13 ·³,16,14,128769,117509,,,26 ,99351 
14 ·³,28,11,133724,123239,,,35 ,99325 
15 ·³,32,15,159666,146318,,,43 ,99290 
16 ·³,46,13,147563,135104,,,49 ,99248 
17 ·³,63,24,138849,128077,,,54 ,99198 
18 ·³,136,40,167866,154751,,,56 ,99145 
19 ·³,103,50,167160,154481,,,58 ,99088 
20 ·³,92,45,167425,156006,,,59 ,99031 
21 ·³,93,45,166788,154310,,,60 ,98972 
22 ·³,119,36,168015,156652,,,62 ,98911 
23 ·³,93,42,165958,152379,,,63 ,98850 
24 ·³,112,44,165220,151210,,,65 ,98787 
25 ·³,114,45,173340,159008,,,68 ,98722 
26 ·³,94,64,159420,148591,,,71 ,98654 
27 ·³,119,59,174719,163730,,,75 ,98583 
28 ·³,137,49,157981,149143,,,80 ,98508 
29 ·³,132,61,152673,147822,,,87 ,98428 
30 ·³,147,71,170910,168345,,,96 ,98340 
31 ·³,198,88,184265,182297,,,107 ,98245 
32 ·³,207,101,189335,189791,,,120 ,98138 
33 ·³,237,107,199301,201871,,,136 ,98017 
34 ·³,281,112,204648,207161,,,154 ,97881 
35 ·³,346,120,201019,205947,,,173 ,97727 
36 ·³,333,130,206251,209522,,,193 ,97553 
37 ·³,398,150,200514,204021,,,213 ,97360 
38 ·³,456,147,189719,194948,,,233 ,97148 
39 ·³,441,166,206742,210391,,,254 ,96915 
40 ·³,430,165,177415,183129,,,276 ,96662 
41 ·³,534,166,174480,179710,,,301 ,96385 
42 ·³,561,201,174317,178424,,,329 ,96084 
43 ·³,612,209,172902,178970,,,359 ,95755 
44 ·³,643,257,178722,182963,,,390 ,95396 
45 ·³,762,271,183594,187126,,,421 ,95006 
46 ·³,765,298,184101,187094,,,450 ,94585 
47 ·³,887,313,183830,185984,,,477 ,94135 
48 ·³,908,321,175128,176282,,,503 ,93658 
49 ·³,1036,354,186464,189521,,,529 ,93155 
50 ·³,1017,449,183750,187072,,,556 ,92625 
51 ·³,1139,438,186834,189524,,,586 ,92069 
52 ·³,1204,439,188311,193067,,,618 ,91483 
53 ·³,1267,502,185234,189452,,,653 ,90866 
54 ·³,1313,538,181971,186102,,,690 ,90213 
55 ·³,1400,554,179550,184087,,,729 ,89523 
56 ·³,1510,605,176354,182828,,,770 ,88794 
57 ·³,1419,623,170105,176940,,,815 ,88024 
58 ·³,1473,595,160393,168412,,,862 ,87209 
59 ·³,1599,664,165282,173395,,,909 ,86347 
60 ·³,1633,749,160962,168589,,,960 ,85438 
61 ·³,1701,784,150674,160101,,,1016 ,84478 
62 ·³,1698,838,144112,153423,,,1077 ,83462 
63 ·³,1888,926,140094,149634,,,1145 ,82385 
64 ·³,1859,924,140495,151589,,,1222 ,81240 
65 ·³,1663,882,117931,127046,,,1309 ,80018 
66 ·³,1745,890,107913,117736,,,1405 ,78709 
67 ·³,1637,935,94380,102687,,,1511 ,77304 
68 ·³,1430,814,81590,89985,,,1626 ,75793 
69 ·³,1287,728,65005,72741,,,1748 ,74168 
70 ·³,1470,853,57259,64966,,,1878 ,72419 
71 ·³,1702,1083,65874,74928,,,2012 ,70542 
72 ·³,1798,1119,65697,75343,,,2148 ,68530 
73 ·³,1849,1302,62667,73442,,,2285 ,66382 
74 ·³,2067,1424,61601,72723,,,2419 ,64096 
75 ·³,2209,1572,58849,71815,,,2548 ,61677 
76 ·³,2235,1633,53786,67370,,,2670 ,59129 
77 ·³,2304,1689,48440,61353,,,2787 ,56459 
78 ·³,2320,1821,45363,58875,,,2895 ,53672 
79 ·³,2313,1961,41207,53501,,,2992 ,50778 
80 ·³,2393,2100,38750,51115,,,3075 ,47786 
81 ·³,2478,2118,35757,46763,,,3142 ,44711 
82 ·³,2717,2084,33156,41933,,,3188 ,41569 
83 ·³,2838,2320,32236,38418,,,3213 ,38380 
84 ·³,3090,2289,31448,35764,,,35168 ,35168 
85 ·³,3053,2350,29972,31777,,,,
86 ·³,2836,2379,26136,27718,,,,
87 ·³,2745,2246,22708,24068,,,,
88 ·³,2459,2131,19286,20185,,,,
89 ·³,2252,2056,16065,17648,,,,
90 ·³,2002,1733,12898,13895,,,,
91 ·³,1577,1560,9281,10819,,,,
92 ·³,1334,1390,6935,8599,,,,
93 ·³,1094,1312,5646,7038,,,,
94 ·³,845,1000,4310,5502,,,,
95 ·³,630,784,2801,3702,,,,
96 ·³,448,585,1913,2514,,,,
97 ·³,361,473,1331,1780,,,,
98 ·³,235,353,910,1288,,,,
99 ·³,157,209,597,777,,,,
100 ·³¥H¤W,436,527,1442,1625,,,,
