       Academic Grad_rate SAT_P25 SAT_P75 HS_P10 Accept_rate
Caltech 4.7 0.85 1420 1570 1.00 0.18
Harvard 4.9 0.96 1400 1580 0.90 0.12
MIT 4.9 0.92 1400 1560 0.95 0.22
Princeton 4.8 0.95 1360 1540 0.93 0.13
Yale 4.8 0.94 1360 1540 0.95 0.18
Stanford 4.9 0.92 1360 1540 0.87 0.13
Duke 4.6 0.92 1300 1490 0.89 0.28
Johns_Hopkins 4.7 0.89 1290 1480 0.81 0.41
U_Pennsylvania 4.4 0.90 1300 1480 0.90 0.29
Columbia 4.6 0.90 1290 1490 0.87 0.14
Cornell 4.7 0.91 1260 1450 0.82 0.34
Dartmouth 4.4 0.94 1350 1520 0.88 0.21
U_Chicago 4.7 0.84 1250 1460 0.69 0.61
Brown 4.5 0.93 1290 1500 0.88 0.17
Northwestern 4.5 0.90 1280 1460 0.86 0.33
Rice 4.2 0.92 1310 1530 0.89 0.24
Washington_U_St_Louis 4.1 0.86 1250 1420 0.77 0.37
Emory 4.0 0.84 1280 1450 0.88 0.48
U_Notre_Dame 3.9 0.94 1240 1400 0.84 0.42
Vanderbilt 4.1 0.82 1230 1420 0.63 0.59
Carnegie_Mellon 4.2 0.75 1270 1470 0.69 0.42
Georgetown 3.9 0.91 1260 1450 0.80 0.24
Wake_Forest 3.3 0.82 1220 1390 0.64 0.48
Tufts 3.6 0.87 1250 1420 0.69 0.33
Brandeis 3.7 0.79 1230 1400 0.65 0.57
U_C_Berkeley 4.7 0.83 1230 1450 0.95 0.28
U_Virginia 4.3 0.92 1210 1410 0.79 0.34
UCLA 4.3 0.78 1170 1380 0.97 0.33
U_NC_Chapel_Hill 4.2 0.82 1130 1340 0.69 0.35
C_William_and_Mary 3.8 0.89 1210 1400 0.74 0.45
UC_San_Diego 3.8 0.80 1140 1340 0.96 0.48
Georgia_Tech 4.0 0.69 1210 1410 0.70 0.75
Pennsylvania_State 3.9 0.80 1101 1310 0.48 0.47
UC_Davis 3.8 0.74 1040 1280 0.95 0.66
UC_Santa_Barbara 3.5 0.70 1060 1270 0.95 0.61
UT_Austin 4.0 0.66 1090 1310 0.44 0.71
U_Washington 3.9 0.70 1030 1280 0.37 0.66
UC_Irvine 3.6 0.74 1000 1230 0.90 0.62
U_Florida 3.6 0.67 1120 1320 0.56 0.61
Tulane 3.5 0.72 1170 1350 0.47 0.79
USC 3.6 0.70 1140 1340 0.61 0.45
Boston_College 3.5 0.77 1200 1370 0.60 0.40
