   A  B   C  D   E   F  G  H
 1     4   5   4   5   4   5   4   5
 2     4   1   2   1   3   2   2   2
 3     1   1   3   1   4   1   1   4
 4     5   3   2   4   4   5   4   5
 5     4   4   4   4   4   5   4   4
 6     5   5   4   4   4   5   5   4
 7     4   1   2   3   3   3   1   2
 8     4   5   4   2   3   4   5   3
 9     3   2   3   1   3   3   2   2
10    5   5   4   5   3   5   5   4
11    2   1   2   1   4   2   1   2
12    3   2   2   2   4   2   2   2
13    3   5   4   3   2   4   5   3
14    3   3   5   2   1   2   1   3
15    4   5   5   4   1   4   1   3
16    3   4   3   3   5   5   1   3
17    3   4   5   4   3   4   2   4
18    3   2   3   1   4   4   2   2
19    4   4   1   2   2   2   3   4
20    1   1   4   2   2   2   1   3
21    1   1   3   2   1   2   1   2
22    4   4   1   4   3   4   3   3
23    4   5   4   4   5   4   1   2
24    4   2   3   4   4   4   2   3
25    3   2   4   2   4   4   2   2
26    3   4   4   2   1   2   1   3
27    4   3   3   4   1   4   4   4
28    2   2   4   4   1   2   2   2
29    4   4   2   3   1   5   3   4
30    3   4   4   3   4   4   3   4
31    4   4   4   3   4   4   4   4
